href,city, state,country
/USA/Arizona/Phoenix/,Phoenix,Arizona,USA
/USA/California/East-Bay-Area/,East Bay Area,California,USA
/USA/California/Fresno/,Fresno,California,USA
/USA/California/Los-Angeles/,Los Angeles,California,USA
/USA/California/North-Bay-Area/,North Bay Area,California,USA
/USA/California/Orange-County/,Orange County,California,USA
/USA/California/Sacramento/,Sacramento,California,USA
/USA/California/San-Diego/,San Diego,California,USA
/USA/California/San-Francisco/,San Francisco,California,USA
/USA/California/San-Jose/,San Jose,California,USA
/USA/California/South-Bay-Area/,South Bay Area,California,USA
/USA/Colorado/Denver/,Denver,Colorado,USA
/USA/Florida/Jacksonville/,Jacksonville,Florida,USA
/USA/Florida/Miami/,Miami,Florida,USA
/USA/Florida/Tampa/,Tampa,Florida,USA
/USA/Georgia/Atlanta/,Atlanta,Georgia,USA
/USA/Illinois/Chicago/,Chicago,Illinois,USA
/USA/Indiana/Indianapolis/,Indianapolis,Indiana,USA
/USA/Kentucky/Louisville/,Louisville,Kentucky,USA
/USA/Louisiana/New-Orleans/,New Orleans,Louisiana,USA
/USA/Maryland/Baltimore/,Baltimore,Maryland,USA
/USA/Massachusetts/Boston/,Boston,Massachusetts,USA
/USA/Michigan/Detroit/,Detroit,Michigan,USA
/USA/Minnesota/Minneapolis/,Minneapolis,Minnesota,USA
/USA/Missouri/Kansas-City/,Kansas City,Missouri,USA
/USA/Nevada/Las-Vegas/,Las Vegas,Nevada,USA
/USA/Nevada/Reno/,Reno,Nevada,USA
/USA/New-York/New-York/,New York City,New York,USA
/USA/North-Carolina/Charlotte/,Charlotte,North Carolina,USA
/USA/North-Carolina/Raleigh/,Raleigh,North Carolina,USA
/USA/Ohio/Cleveland/,Cleveland,Ohio,USA
/USA/Ohio/Columbus/,Columbus,Ohio,USA
/USA/Oklahoma/Oklahoma-City/,Oklahoma City,Oklahoma,USA
/USA/Oregon/Portland/,Portland,Oregon,USA
/USA/Pennsylvania/Philadelphia/,Philadelphia,Pennsylvania,USA
/USA/Pennsylvania/Pittsburgh/,Pittsburgh,Pennsylvania,USA
/USA/Tennessee/Memphis/,Memphis,Tennessee,USA
/USA/Tennessee/Nashville-Davidson/,Nashville,Tennessee,USA
/USA/Texas/Austin/,Austin,Texas,USA
/USA/Texas/Dallas/,Dallas,Texas,USA
/USA/Texas/Fort-Worth/,Fort Worth,Texas,USA
/USA/Texas/Houston/,Houston,Texas,USA
/USA/Texas/San-Antonio/,San Antonio,Texas,USA
/USA/Utah/Salt-Lake-City/,Salt Lake City,Utah,USA
/USA/Virginia/Richmond/,Richmond,Virginia,USA
/USA/Virginia/Virginia-Beach/,Virginia Beach,Virginia,USA
/USA/Washington/Seattle/,Seattle,Washington,USA
/USA/Washington-DC/Washington-DC/,Washington DC,Washington DC,USA
/Canada/Alberta/Calgary/,Calgary,Alberta,Canada
/Canada/Alberta/Edmonton/,Edmonton,Alberta,Canada
/Canada/British-Columbia/Vancouver/,Vancouver,British Columbia,Canada
/Canada/Ontario/Ottawa/,Ottawa,Ontario,Canada
/Canada/Ontario/Toronto/,Toronto,Ontario,Canada
/Canada/Quebec/Montreal/,Montreal,Quebec,Canada
