i,urlpath,Username,Country,State,City,img_url,review_count
1,/USA/Arizona/Phoenix/Karmen2020,Karmen2020,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:45e5634e-3427-4f7d-a89c-7f59e400b340/BA939F6E-D4D2-4306-A90F-7A4239876C15.jpeg,0
2,/USA/Arizona/Phoenix/Minx_MsMariah,Minx_MsMariah,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:d0e2c486-be27-457c-8b39-6cdf125d8858/dec6.jpg,36
3,/USA/Arizona/Phoenix/Abigail_Reign,Abigail_Reign,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:2029ce95-3acf-40d0-969a-bb4db3d7ca62/4FDED8B1-7186-488B-B5C7-45921F940B47.jpeg,13
4,/USA/Arizona/Phoenix/Anjelicasworld,Anjelicasworld,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:e2e11d88-64be-4c86-a3f2-d300fdaa8e9c/29FFD338-CAAD-4037-A343-551EF06B2CC2.jpeg,23
5,/USA/Arizona/Phoenix/River,River,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:eb55cd82-bd66-477e-aed9-373609433855/Swimsuit.jpg,48
6,/USA/Arizona/Phoenix/TaylorKisses,TaylorKisses,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:251418d9-a7cf-45f7-acf0-89e3a3bdbe27/2FEBDB7E-449F-42B3-AA71-0AD6829ABEAC.jpeg,1
7,/USA/Arizona/Phoenix/Mistressbaby,Mistressbaby,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:67ba2ad1-b9f4-4a33-b499-9bfcc5fbebb2/20200309_030011.jpg,1
8,/USA/Arizona/Phoenix/daniellexxx,daniellexxx,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:b42dc365-3c09-4318-ab33-3ee58fe8fc96/1.jpg,0
9,/USA/Arizona/Phoenix/Lovelynikki22,Lovelynikki22,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:1c8afd38-3fc9-4284-ab10-1f60091fd4d0/2D6C6C64-B35E-4473-A5FA-F7EFEAF10906.jpeg,15
10,/USA/Arizona/Phoenix/Laylaperezxxx89,Laylaperezxxx89,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:c6cc324f-5572-49a3-b816-124679ee1454/d.jpg,0
11,/USA/Arizona/Phoenix/NadiaLuve,NadiaLuve,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:1f16a22f-1762-4c97-a089-2357b00f876c/0E5484B2-D323-4D38-BA47-5E5926CACDBE.jpeg,10
12,/USA/Arizona/Phoenix/deelishuss,deelishuss,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:5a0a9007-4053-4166-a90d-2655a6617526/F275E3E1-A900-4FB9-8F75-F3B133FB282B.jpeg,0
13,/USA/Arizona/Phoenix/Milliee2Badd,Milliee2Badd,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:00994890-97a4-427f-bd15-a74750571816/58A62B2C-9A7C-4F6C-9166-CD6F2007C3C5.jpeg,6
14,/USA/Arizona/Phoenix/AmberAmber16,AmberAmber16,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:0dd92c83-5683-475a-810f-c928cb8e39ae/FA44B35E-3384-4D9D-ADC5-07DAA3F8070C.jpeg,0
15,/USA/Arizona/Phoenix/BaileyMay,BaileyMay,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:5397ca41-4441-4df8-9560-d6b4d3930428/MayBailey5.jpg,18
